algorithm,search_seed,candidate_training_seed,evaluation,iteration,planet,num_heads,d_model,dropout_rate,filters,kernel_size,learning_rate_log10,weight_decay_log10,val_accuracy,trained_epochs
koa,0,20311102,1,1,1,4,128,0.2,96,5,-3.5,-4.5,0.9544364213943481,8
koa,0,20311102,2,1,2,5,150,0.20730441084689438,129,7,-3.1695430686155577,-5.004793659549178,0.9568345546722412,8
koa,0,20311102,3,1,3,4,88,0.23161063065221874,72,7,-3.5164382274064834,-4.657851887303888,0.9544364213943481,8
koa,0,20311102,4,1,4,2,148,0.22527262834790074,131,4,-3.7575005348581496,-4.935019503214554,0.9640287756919861,8
koa,0,20311102,5,1,5,3,192,0.12495690958236935,104,5,-3.1687517341770937,-3.787039104651026,0.9616307020187378,8
koa,0,20311102,6,1,6,5,150,0.32266227516261153,51,6,-3.2130606496174745,-3.6397948670735727,0.9616307020187378,8
koa,0,20311102,7,1,7,6,126,0.22090672676259343,113,6,-3.1516047875832536,-5.231031105211857,0.9568345546722412,8
koa,0,20311102,8,1,8,5,140,0.345416091629494,114,5,-3.0276254447776894,-4.632487643671022,0.9568345546722412,8
koa,0,20311102,9,2,1,3,126,0.1942945878827574,121,5,-3.6956910994126124,-4.840976886203929,0.9568345546722412,8
koa,0,20311102,10,2,2,5,140,0.22974809863126597,141,4,-3.3993615932260384,-5.032747950307837,0.9688249230384827,8
koa,0,20311102,11,2,3,3,96,0.20655667123426363,108,4,-3.773363679904274,-4.519134531931757,0.9520383477210999,8
koa,0,20311102,12,2,4,3,156,0.18748235873260555,121,3,-3.625260686405482,-4.949754611807676,0.9640287756919861,8
koa,0,20311102,13,2,5,2,156,0.21316391421132297,119,4,-3.751763198486371,-4.621611759298629,0.9688249230384827,8
koa,0,20311102,14,2,6,4,160,0.22011611369390927,120,5,-3.5187734444539696,-3.979399069273856,0.9640287756919861,8
koa,0,20311102,15,2,7,2,154,0.21660398225706748,129,5,-3.732333330706627,-5.138953939047593,0.9544364213943481,8
koa,0,20311102,16,2,8,3,162,0.208522061502186,126,6,-3.4335061620354597,-5.088120548019339,0.9616307020187378,8
